"a","e","i","om","w","q","ad","per_y","ma","diameter","albedo","BV","UB","n","moid","spec_B"
0.521457231136677,0.229108011457481,0.439773351444574,0.222929834572648,0.203947892855788,0.595559083530577,0.461658161067295,0.518227299227118,0.166884842982027,0.81084189773701,0.224181360201511,0.277661795407098,0.57196261682243,0.461218345509875,0.605181688629464,"C"
0.522613876683365,0.669441698835529,0.44757005321654,0.480329886220877,0.86353558195128,0.425136168671964,0.647745212498419,0.519396824973895,0.112771620697238,0.823037268661649,0.387909319899244,0.11482254697286,0.306542056074766,0.460138390037159,0.460301143137827,"C"
0.482008383458612,0.745056304300144,0.539691584901901,0.471775502488033,0.688160223422373,0.364989264775491,0.623627567239034,0.478704645042255,0.102841073890101,0.821866362666795,0.536523929471033,0.509394572025052,0.585046728971963,0.499802120861678,0.382278522642556,"S"
0.358280502685202,0.25976955594488,0.296580120702559,0.288082790004925,0.421282991310761,0.432618456349823,0.279905128619307,0.359472759152027,0.470421934066133,0.8156618198188,0.516621568705712,0.421711899791232,0.695327102803738,0.647415697042792,0.42379100145894,"V"
0.444819628762619,0.544921718681977,0.222440962856633,0.392969139807962,0.997602065741351,0.409389134264977,0.49438774597163,0.442104432790507,0.842773650202593,0.821409853668626,0.687657430730479,0.51356993736952,0.54392523364486,0.539564562562665,0.410753991002143,"S"
0.383922268161459,0.589241377804874,0.612248224574254,0.385100861450834,0.665515266872811,0.343981808980275,0.431510110709455,0.383580589521816,0.400007815990533,0.818703272898099,0.672292191435768,0.505219206680585,0.521495327102804,0.612961200819303,0.35757047759824,"S"
0.368269659664124,0.668099260082362,0.229093848150768,0.720829105897178,0.404009306512291,0.304833956223135,0.439405634836479,0.368826191831436,0.577496229784211,0.824056572366272,0.694206549118388,0.574112734864301,0.680373831775701,0.633719953162573,0.30676968849075,"S"
0.671492499041751,0.322548480162458,0.158971698719225,0.786593836861335,0.868009092801011,0.694761942189889,0.683289147447051,0.674891324832005,0.208827831510819,0.825162560611722,0.17808564231738,0.242171189979123,0.431775700934579,0.341342329749232,0.685536562322283,"C"
0.394801284670791,0.288500941596127,0.192215331549395,0.348659054154256,0.543950209949727,0.456508301441709,0.334130789105077,0.393905318468131,0.91414591656044,0.820279330399523,0.478589420654912,0.536534446764092,0.555140186915888,0.599016343408642,0.447549050174622,"S"
0.346920579089686,0.640718061975786,0.347784891278144,0.653773064293967,0.193341026313383,0.297105808750008,0.400988923545466,0.34889536292005,0.599329571870687,0.836071806317144,0.408060453400504,0.613778705636743,0.738317757009346,0.663434538356867,0.296242394127509,"L"
0.444294397046672,0.248654272259807,0.687098934079221,0.12002127830071,0.221739262782222,0.516244597041224,0.378148681614188,0.441592142851463,0.582285353684768,0.822520525691232,0.120906801007557,0.34446764091858,0.620560747663551,0.540151753653029,0.543887795257963,"C"
0.449286508051402,0.479015280915851,0.378775694642599,0.239099815876093,0.271833781600582,0.43706013642301,0.474364076432671,0.446466486395531,0.511484761205972,0.824183925442091,0.397984886649874,0.528183716075157,0.500934579439252,0.534600631846573,0.442965948777696,"S"
0.471305243857918,0.543937203379485,0.48832490639318,0.813629816811123,0.274331825466353,0.431628089932316,0.528421135024039,0.468104920865,0.805517127264209,0.829483029770405,0.622166246851385,0.54070981210856,0.618691588785047,0.510890314871869,0.445461011971582,"S"
0.584423121672461,0.389975416966675,0.128418024711496,0.41674133002766,0.63725052609413,0.588375642348347,0.607248717051144,0.582768947385716,0.675432227370674,0.821909849025954,0.300503778337532,0.311064718162839,0.334579439252336,0.406252239198896,0.585139778080206,"X"
0.402225977597008,0.384922098185185,0.232140463346446,0.348707817069029,0.376989233894728,0.429804012615212,0.379147923181856,0.40098448801777,0.971904280051751,0.822336826499986,0.483627204030227,0.519832985386221,0.594392523364486,0.589717692898533,0.421389554012949,"S"
0.331686628494917,0.634999230942175,0.42084544614689,0.417654214604599,0.633749301810549,0.286880628526757,0.378649737217014,0.334810949338568,0.00110863711189946,0.830372310672952,0.453400503778338,0.572025052192067,0.570093457943925,0.685691740978759,0.290952697346474,"S"
0.390632261824406,0.457341978128424,0.0650986193998634,0.586219995372102,0.507200829566949,0.394712894748453,0.391560409722479,0.389941950080125,0.693985852902839,0.823892846810643,0.0906801007556675,0.290187891440501,0.381308411214953,0.604314670592419,0.393569395888624,"C"
0.376902910358081,0.416965009142723,0.0291702372622645,0.572165022465923,0.715194812143597,0.396626166203078,0.359441525257726,0.37694929064161,0.496582307673091,0.826698503362342,0.604534005037783,0.572025052192067,0.641121495327103,0.622166782448414,0.399682911251131,"S"
0.387994480397865,0.476744519714675,0.127050858463209,0.224564982806915,0.695274602606756,0.385808951249052,0.395375447603205,0.387438622714149,0.108039202054501,0.828294698588112,0.554659949622166,0.221294363256785,0.128971962616822,0.607696085621162,0.378924636717985,"X"
0.579407691585507,0.286754926906097,0.56923149603772,0.183263472535575,0.993979407660176,0.626213080810788,0.555515264280185,0.577563227402629,0.423071558071305,0.821721713118574,0.415617128463476,0.281837160751566,0.213084112149533,0.41036090144088,0.626721451145034,"X"
0.465356003420722,0.671314752394668,0.419924202430636,0.184701362886922,0.170920712043037,0.379647830409245,0.571381809922217,0.462236143433267,0.959181054205334,0.823911180196721,0.636272040302267,0.582463465553236,0.601869158878505,0.517175066161228,0.391139456693274,"S"
0.67530256075508,0.338435555371539,0.0304047453995181,0.101380974445818,0.300160685973948,0.691169303224443,0.695500127115024,0.678997071365635,0.767495489600175,0.821509368229767,0.16624685138539,0.217118997912318,0.403738317757009,0.338754799028545,0.690783114454288,"C"
